,eav_id,title,subtitle,n_rooms,n_bedrooms,n_bathrooms,useful_area,built_area,land_area,price,built_year,energy_class,energy_consumption,co2_emission,co2_emission_scale,protected,status,parking,garage,floor_cover,property_subclass,terrace_area,heating_type,location_status
1052,W-02R6WF,PISO DE DOS HABITACIONES EN SANT GERVASI,"Apartamento, Comprar | España, Barcelona, Sant Gervasi, Bonanova",2,2,1,68 m²,68 m²,,660.000 EUR,2022,B,30 kWh/(m²*a),5 kg/m²,A,True,Excelente,,28,,Apartamento,,,Excelente
1053,W-02QYIA,CASA ADOSADA EN MATADEPERA,"Casa, Comprar | España, Barcelona, Matadepera",4,4,3,245 m²,245 m²,675 m²,660.000 EUR,1981,E,253 kWh/(m²*a),,F,False,,2,2,,Casa unifamiliar,,,
1054,W-02O8PH,FANTÁSTICO PISO EN FINCA REGIA EN EL CLOT,"Apartamento, Comprar | España, Barcelona, SANT MARTIN, El Clot",4,4,2,156 m²,156 m²,,660.000 EUR,1920,E,133 kWh/(m²*a),28 kg/m²,E,True,Muy bien,,,,Apartamento,,,Excelente
1055,W-02MBEF,MAGNIFICA CASA REFORMADA CON PISCINA,"Casa, Comprar | España, Barcelona, Maresme, Cabrils",4,4,3,261 m²,261 m²,1.055 m²,660.000 EUR,2001,G,549 kWh/(m²*a),93 kg/m²,G,False,Excelente,2,2,,Casa unifamiliar,,,Muy bien
1056,W-02ICAR,PISO ALTO Y LUMINOSO LA DRETA DE L'EIXAMPLE,"Apartamento, Comprar | España, Barcelona, Eixample, Eixample Dreta",3,3,2,122 m²,122 m²,,660.000 EUR,1940,D,97 kWh/(m²*a),19 kg/m²,D,True,Bien,,,,Apartamento,,,Excelente
1057,W-02RZGI,PISO DE OBRA NUEVA CON PATIO EN BADALONA,"Apartamento, Comprar | España, Barcelona, Badalona",3,3,3,165 m²,165 m²,,655.000 EUR,2023,A,18 kWh/(m²*a),5 kg/m²,A,False,Excelente,,,,Apartamento,,,Excelente
1058,W-02R80O,CASA INDEPENDIENTE EN DRAC PARK,"Casa, Comprar | España, Barcelona, Matadepera",5,5,3,265 m²,265 m²,412 m²,655.000 EUR,,F,253 kWh/(m²*a),52 kg/m²,E,False,,1,1,,Casa unifamiliar,,,
1059,W-02NBNG,ÁTICO A REFORMAR EN EIXAMPLE ESQUERRA,"Apartamento, Comprar | España, Barcelona, Eixample, Eixample Esquerra",4,4,3,158 m²,158 m²,,655.000 EUR,1955,E,204 kWh/(m²*a),42 kg/m²,E,False,Necesita renovaciones,,,,Apartamento,,,Bien
1060,W-02QV0Y,FANTÁSTICO PISO A REFORMAR EN EIXAMPLE,"Apartamento, Comprar | España, Barcelona, Eixample, Eixample Esquerra",3,3,1,169 m²,169 m²,,652.000 EUR,1920,,,,,False,Necesita restauración,,,,Apartamento,,,Muy bien
1061,W-02O1IR,CASA DE DISEÑO EN EL CENTRO DE MATARÓ,"Casa, Comprar | España, Barcelona, Maresme, Mataró",4,4,3,195 m²,195 m²,56 m²,652.000 EUR,1910,APLUSPLUS,"26,7 kWh/(m²*a)","4,5 kg/m²",A,False,Excelente,,,,Casa,15 m²,,Excelente
